id_aviso,titulo,marca,rubro1,rubro2,rubro3,rubro4,precio,moneda,descuento,precio_texto,foto_url,url_aviso,vendedor,fecha_scraping
635947,"Tractor John Deere 5090e","John Deere","Maquinaria Agricola",Tractores,Agricolas,"De tracción doble",NULL,NULL,NULL,"$ Consultar",https://static2.aastatic.com.ar/files/variants/500/7c17c7b949254974864a454cc3a4e2a3.jpg,https://www.agroads.com.ar/detalle.asp?clasi=635947,"NAVARRO S. A.","2025-12-12 08:38:29"
675396,"Pulverizadora Pla 3300 MD - Alas Mixtas 36 Metros",PLA,"Maquinaria Agricola",Pulverizadoras,Autopropulsadas,,311046.00,NULL,NULL,"u$s 311.046",https://static2.aastatic.com.ar/files/variants/500/de880909c59a452bb9014677e819c5bc.jpg,https://www.agroads.com.ar/detalle.asp?clasi=675396,"NAVARRO S. A.","2025-12-12 08:38:29"
829025,"Sembradora Pla STP G 13 a 52.5",PLA,"Maquinaria Agricola",Sembradoras,"De grano grueso",Neumáticas,123511.00,NULL,NULL,"u$s 123.511",https://static2.aastatic.com.ar/files/variants/500/90c1db5a36164f4798c804b9d13387b1.jpg,https://www.agroads.com.ar/detalle.asp?clasi=829025,"NAVARRO S. A.","2025-12-12 08:38:29"
840144,"Rastra Genovese Desencontrada Art. Grslvwv - 32/58 Disc",Genovese,"Maquinaria Agricola",Rastras,Desencontradas,,NULL,NULL,NULL,"$ Consultar",https://static2.aastatic.com.ar/files/variants/500/ffa91177abe74a2d95f588b228f23af2.jpg,https://www.agroads.com.ar/detalle.asp?clasi=840144,"NAVARRO S. A.","2025-12-12 08:38:29"
846795,"Sembradora Pla STP F29 de 25 a 21 Kit GG + Variable",PLA,"Maquinaria Agricola",Sembradoras,"De grano fino",,149623.00,NULL,NULL,"u$s 149.623",https://static2.aastatic.com.ar/files/variants/500/1f7b218c94d14f548f860415c72a4d09.jpg,https://www.agroads.com.ar/detalle.asp?clasi=846795,"NAVARRO S. A.","2025-12-12 08:38:29"
887970,"Pulverizadora de Arrastre Pla MLP 3000 F",PLA,"Maquinaria Agricola",Pulverizadoras,"De arrastre",,46453.00,NULL,NULL,"u$s 46.453",https://static2.aastatic.com.ar/files/variants/500/cc4257157f6448289b6088a735e3a6a6.jpg,https://www.agroads.com.ar/detalle.asp?clasi=887970,"NAVARRO S. A.","2025-12-12 08:38:29"
903537,"Genovese Rastra Desencontrada Plegable Grnlw 30/50 Discos",Genovese,"Maquinaria Agricola",Rastras,Desencontradas,,NULL,NULL,NULL,"$ Consultar",https://static2.aastatic.com.ar/files/variants/500/57e3031da08b46f5960d3c250b03d850.jpg,https://www.agroads.com.ar/detalle.asp?clasi=903537,"NAVARRO S. A.","2025-12-12 08:38:29"
908331,"Pulverizadora Pla 3300 MD - Alas Mixtas 36m",PLA,"Maquinaria Agricola",Pulverizadoras,Autopropulsadas,,311046.00,NULL,NULL,"u$s 311.046",https://static2.aastatic.com.ar/files/variants/500/54823b1c16494ee39833cd39f4ceeb4b.jpg,https://www.agroads.com.ar/detalle.asp?clasi=908331,"NAVARRO S. A.","2025-12-12 08:38:29"
921601,"Pulverizadora Pla MAP II 4000, año 2013",PLA,"Maquinaria Agricola",Pulverizadoras,Autopropulsadas,,78400.00,NULL,NULL,"u$s 78.400",https://static2.aastatic.com.ar/files/variants/500/14817939164441f985a1bacd6ca1cb1b.jpg,https://www.agroads.com.ar/detalle.asp?clasi=921601,"NAVARRO S. A.","2025-12-12 08:38:29"
939318,"Tractor Pauny 500c Evo, año 2012",Pauny,"Maquinaria Agricola",Tractores,Agricolas,"De tracción doble",56000.00,NULL,NULL,"u$s 56.000",https://static2.aastatic.com.ar/files/variants/500/2232519406784b0899ad7bee7a124278.jpg,https://www.agroads.com.ar/detalle.asp?clasi=939318,"NAVARRO S. A.","2025-12-12 08:38:29"
973242,"Cosechadora John Deere 9750, año 2008","John Deere","Maquinaria Agricola",Cosechadoras,Agrícolas,"De tracción doble",145600.00,NULL,NULL,"u$s 145.600",https://static2.aastatic.com.ar/files/variants/500/3c44528223f247cca529cdaa9e3a04a1.jpg,https://www.agroads.com.ar/detalle.asp?clasi=973242,"NAVARRO S. A.","2025-12-12 08:38:29"
973254,"Sembradora Crucianelli Pionera IV, año 2008",Crucianelli,"Maquinaria Agricola",Sembradoras,"De grano fino",,52451.00,NULL,NULL,"u$s 52.451",https://static2.aastatic.com.ar/files/variants/500/820d002335d545be9d1cb934d7151aa3.jpg,https://www.agroads.com.ar/detalle.asp?clasi=973254,"NAVARRO S. A.","2025-12-12 08:38:29"
989507,"Tractor John Deere 6615, año 2007","John Deere","Maquinaria Agricola",Tractores,Agricolas,"De tracción doble",56000.00,NULL,NULL,"u$s 56.000",https://static2.aastatic.com.ar/files/variants/500/5dd43ea73149496dbacb4db37ac860f8.jpg,https://www.agroads.com.ar/detalle.asp?clasi=989507,"NAVARRO S. A.","2025-12-12 08:38:29"
998726,"Tractor Valtra T 250, año 2019",Valtra,"Maquinaria Agricola",Tractores,Agricolas,"De tracción doble",128800.00,NULL,NULL,"u$s 128.800",https://static2.aastatic.com.ar/files/variants/500/e8c42d25ab024f15adeae4955f0c3f43.jpg,https://www.agroads.com.ar/detalle.asp?clasi=998726,"NAVARRO S. A.","2025-12-12 08:38:29"
998731,"Pulverizadora Favot 3032, año 2015",Favot,"Maquinaria Agricola",Pulverizadoras,Autopropulsadas,,100800.00,NULL,NULL,"u$s 100.800",https://static2.aastatic.com.ar/files/variants/500/bf9ea1547fea4e619a0b64edab0caefe.jpg,https://www.agroads.com.ar/detalle.asp?clasi=998731,"NAVARRO S. A.","2025-12-12 08:38:29"
1002131,"Cosechadora Vassalli 1550 SS, año 2011",Vassalli,"Maquinaria Agricola",Cosechadoras,Agrícolas,"De tracción simple",89600.00,NULL,NULL,"u$s 89.600",https://static2.aastatic.com.ar/files/variants/500/033cfba2af3b4d169be7b578a0d80fa4.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1002131,"NAVARRO S. A.","2025-12-12 08:38:29"
1002136,"Cosechadora Vassalli 1550ss, año 2013",Vassalli,"Maquinaria Agricola",Cosechadoras,Agrícolas,"De tracción simple",89600.00,NULL,NULL,"u$s 89.600",https://static2.aastatic.com.ar/files/variants/500/44d795a779144c6f9a0279916f146b7f.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1002136,"NAVARRO S. A.","2025-12-12 08:38:29"
1002149,"Tractor John Deere 6405, año 2007","John Deere","Maquinaria Agricola",Tractores,Agricolas,"De tracción doble",40320.00,NULL,NULL,"u$s 40.320",https://static2.aastatic.com.ar/files/variants/500/cf56c45a4f134d3087f4269e05453ebc.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1002149,"NAVARRO S. A.","2025-12-12 08:38:29"
